"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","Starting Salary","Current Salary","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"55",26,"No","Travel_Rarely",1443,"Sales",23,3,"Marketing",1,72,3,"Female",47,2,2,"Sales Executive",4,"Married",16628,85744,7,"Y","Yes",19,3,3,80,1,5,2,2,2,2,0,0
"933",29,"Yes","Travel_Rarely",806,"Research & Development",7,3,"Technical Degree",1,1299,2,"Female",39,3,1,"Laboratory Technician",3,"Divorced",13356,69140,3,"Y","Yes",13,3,1,80,2,10,2,3,7,7,7,7
"823",34,"No","Travel_Frequently",1003,"Research & Development",2,2,"Life Sciences",1,1140,4,"Male",95,3,2,"Manufacturing Director",3,"Single",16132,63336,2,"Y","No",11,3,4,80,0,5,3,2,3,2,0,2
"1116",34,"No","Travel_Rarely",479,"Research & Development",7,4,"Medical",1,1577,1,"Male",35,3,1,"Research Scientist",4,"Single",11888,88244,1,"Y","No",13,3,3,80,0,1,4,1,1,0,0,0
"231",52,"No","Travel_Rarely",1323,"Research & Development",2,3,"Life Sciences",1,316,3,"Female",89,2,1,"Laboratory Technician",4,"Single",12848,13200,7,"Y","No",15,3,2,80,0,6,3,2,2,2,2,2
"42",27,"No","Travel_Rarely",1240,"Research & Development",2,4,"Life Sciences",1,54,4,"Female",33,3,1,"Laboratory Technician",1,"Divorced",9364,78860,1,"Y","No",13,3,4,80,1,1,6,3,1,0,0,0
"937",45,"No","Travel_Frequently",364,"Research & Development",25,3,"Medical",1,1306,2,"Female",83,3,5,"Manager",2,"Single",72244,52140,3,"Y","No",22,4,3,80,0,22,4,3,0,0,0,0
"1252",30,"No","Travel_Rarely",979,"Sales",15,2,"Marketing",1,1754,3,"Male",94,2,3,"Sales Executive",1,"Divorced",28560,12352,2,"Y","No",11,3,1,80,1,12,2,3,7,7,1,7
"1376",32,"Yes","Travel_Frequently",238,"Research & Development",5,2,"Life Sciences",1,1939,1,"Female",47,4,1,"Research Scientist",3,"Single",9728,61272,3,"Y","Yes",14,3,1,80,0,8,2,3,4,1,0,3
"524",50,"No","Travel_Rarely",1207,"Research & Development",28,1,"Medical",1,716,4,"Male",74,4,1,"Laboratory Technician",3,"Married",12884,13188,1,"Y","Yes",11,3,3,80,3,20,3,3,20,8,3,8
"1358",42,"No","Travel_Rarely",1396,"Research & Development",6,3,"Medical",1,1911,3,"Male",83,3,3,"Research Director",1,"Married",53392,59368,9,"Y","No",13,3,2,80,1,18,3,4,13,7,5,7
"1071",28,"No","Travel_Frequently",467,"Sales",7,3,"Life Sciences",1,1507,3,"Male",55,3,2,"Sales Executive",1,"Single",19592,47308,0,"Y","No",14,3,4,80,0,5,5,3,4,2,1,3
"1012",36,"No","Travel_Rarely",1174,"Sales",3,4,"Marketing",1,1425,1,"Female",99,3,2,"Sales Executive",2,"Single",37112,83052,3,"Y","Yes",16,3,4,80,0,15,3,3,5,4,0,1
"1309",38,"No","Travel_Rarely",723,"Sales",2,4,"Marketing",1,1835,2,"Female",77,1,2,"Sales Representative",4,"Married",21620,16976,2,"Y","Yes",20,4,1,80,2,20,4,2,4,2,0,3
"442",42,"No","Travel_Frequently",1474,"Research & Development",5,2,"Other",1,591,2,"Male",97,3,1,"Laboratory Technician",3,"Married",8372,37040,4,"Y","No",17,3,4,80,1,8,4,3,2,2,2,0
"1396",31,"Yes","Travel_Frequently",754,"Sales",26,4,"Marketing",1,1967,1,"Male",63,3,2,"Sales Executive",4,"Married",22468,84300,1,"Y","Yes",11,3,3,80,0,10,4,3,10,7,0,8
"1249",27,"No","Travel_Rarely",1054,"Research & Development",8,3,"Medical",1,1751,3,"Female",67,3,1,"Research Scientist",4,"Single",13780,24608,1,"Y","No",11,3,3,80,0,6,5,2,6,2,1,4
"411",30,"No","Travel_Rarely",317,"Research & Development",2,3,"Life Sciences",1,548,3,"Female",43,1,2,"Manufacturing Director",4,"Single",24364,99172,2,"Y","No",20,4,3,80,0,11,2,3,5,4,0,2
"945",28,"No","Non-Travel",1476,"Research & Development",1,3,"Life Sciences",1,1315,3,"Female",55,1,2,"Laboratory Technician",4,"Married",26696,65568,0,"Y","No",11,3,1,80,3,10,6,3,9,8,7,5
"1352",48,"No","Travel_Frequently",117,"Research & Development",22,3,"Medical",1,1900,4,"Female",58,3,4,"Manager",4,"Divorced",68696,9748,3,"Y","No",11,3,2,80,1,24,3,3,22,17,4,7
"243",41,"No","Travel_Rarely",1411,"Research & Development",19,2,"Life Sciences",1,334,3,"Male",36,3,2,"Research Scientist",1,"Divorced",12288,79508,2,"Y","No",16,3,1,80,2,17,2,2,1,0,0,0
"628",52,"No","Travel_Frequently",890,"Research & Development",25,4,"Medical",1,867,3,"Female",81,2,4,"Manufacturing Director",4,"Married",55304,76112,3,"Y","No",22,4,3,80,0,31,3,3,9,8,0,0
"564",25,"No","Travel_Rarely",883,"Sales",26,1,"Medical",1,781,3,"Female",32,3,2,"Sales Executive",4,"Single",24720,91228,1,"Y","No",23,4,2,80,0,6,5,2,6,5,1,4
"1461",29,"No","Travel_Rarely",468,"Research & Development",28,4,"Medical",1,2054,4,"Female",73,2,1,"Research Scientist",1,"Single",15140,33956,1,"Y","No",14,3,2,80,0,5,3,1,5,4,0,4
"1464",31,"No","Non-Travel",325,"Research & Development",5,3,"Medical",1,2057,2,"Male",74,3,2,"Manufacturing Director",1,"Single",39744,15148,0,"Y","No",19,3,2,80,0,10,2,3,9,4,1,7
"1170",27,"No","Travel_Rarely",486,"Research & Development",8,3,"Medical",1,1647,2,"Female",86,4,1,"Research Scientist",3,"Married",14068,89960,7,"Y","No",17,3,1,80,0,5,0,3,3,2,0,2
"1061",24,"Yes","Travel_Frequently",381,"Research & Development",9,3,"Medical",1,1494,2,"Male",89,3,1,"Laboratory Technician",1,"Single",12688,67992,2,"Y","Yes",11,3,3,80,0,4,2,2,0,0,0,0
"685",40,"No","Travel_Rarely",658,"Sales",10,4,"Marketing",1,954,1,"Male",67,2,3,"Sales Executive",2,"Divorced",38820,82608,2,"Y","No",12,3,2,80,1,11,2,2,1,0,0,0
"388",40,"No","Travel_Rarely",759,"Sales",2,2,"Marketing",1,516,4,"Female",46,3,2,"Sales Executive",2,"Divorced",22860,90212,7,"Y","No",12,3,3,80,2,8,5,3,5,4,1,3
"961",41,"No","Travel_Frequently",1018,"Sales",1,3,"Marketing",1,1349,3,"Female",66,3,2,"Sales Executive",1,"Divorced",16412,17188,0,"Y","No",17,3,4,80,1,10,2,3,9,3,1,7
"277",35,"No","Travel_Rarely",1315,"Research & Development",22,3,"Life Sciences",1,381,2,"Female",71,4,3,"Manager",2,"Divorced",47984,76400,7,"Y","No",18,3,2,80,1,10,6,2,7,7,6,2
"1027",32,"No","Travel_Rarely",601,"Sales",7,5,"Marketing",1,1446,4,"Male",97,3,2,"Sales Executive",4,"Married",36816,93372,4,"Y","No",12,3,3,80,1,7,3,2,4,3,0,3
"1297",30,"No","Travel_Rarely",1092,"Research & Development",10,3,"Medical",1,1816,1,"Female",64,3,3,"Manufacturing Director",3,"Single",38668,10956,9,"Y","No",14,3,2,80,0,9,3,3,7,7,0,2
"460",41,"No","Non-Travel",509,"Research & Development",2,4,"Other",1,616,1,"Female",62,2,2,"Healthcare Representative",3,"Single",27244,8448,2,"Y","Yes",17,3,1,80,0,10,3,3,8,7,0,7
"1185",54,"No","Travel_Rarely",584,"Research & Development",22,5,"Medical",1,1665,2,"Female",91,3,4,"Manager",3,"Married",69704,74740,3,"Y","No",25,4,3,80,1,36,6,3,10,8,4,7
"197",35,"No","Travel_Frequently",138,"Research & Development",2,3,"Medical",1,269,2,"Female",37,3,2,"Laboratory Technician",2,"Single",17700,63944,5,"Y","No",11,3,4,80,0,10,5,3,6,2,1,2
"296",42,"No","Travel_Frequently",555,"Sales",26,3,"Marketing",1,404,3,"Female",77,3,4,"Sales Executive",2,"Married",54100,59456,5,"Y","No",14,3,4,80,1,23,2,4,20,4,4,8
"1316",36,"No","Travel_Rarely",430,"Research & Development",2,4,"Other",1,1847,4,"Female",73,3,2,"Research Scientist",2,"Married",27848,78292,4,"Y","Yes",22,4,4,80,1,15,2,3,1,0,0,0
"189",34,"No","Travel_Frequently",1069,"Research & Development",2,1,"Life Sciences",1,256,4,"Male",45,2,2,"Manufacturing Director",3,"Married",38188,56296,1,"Y","No",17,3,3,80,0,10,2,2,10,9,1,9
"1125",39,"No","Travel_Rarely",1462,"Sales",6,3,"Medical",1,1588,4,"Male",38,4,3,"Sales Executive",3,"Married",32948,18632,2,"Y","No",11,3,1,80,1,11,3,3,7,6,7,6
"1426",33,"No","Travel_Rarely",501,"Research & Development",15,2,"Medical",1,2009,2,"Female",95,3,2,"Healthcare Representative",4,"Married",19512,86612,0,"Y","Yes",13,3,1,80,1,10,6,3,9,7,8,1
"1258",31,"Yes","Travel_Rarely",1079,"Sales",16,4,"Marketing",1,1761,1,"Male",70,3,3,"Sales Executive",3,"Married",32644,76008,2,"Y","No",13,3,1,80,3,10,2,3,1,0,0,0
"990",37,"No","Travel_Rarely",1439,"Research & Development",4,1,"Life Sciences",1,1394,3,"Male",54,3,1,"Research Scientist",3,"Married",11984,20728,7,"Y","Yes",15,3,4,80,0,8,2,3,6,4,1,3
"618",44,"No","Travel_Rarely",625,"Research & Development",4,3,"Medical",1,852,4,"Male",50,3,2,"Healthcare Representative",2,"Single",23732,20788,9,"Y","No",12,3,4,80,0,10,2,2,5,2,2,3
"798",26,"Yes","Travel_Rarely",1330,"Research & Development",21,3,"Medical",1,1107,1,"Male",37,3,1,"Laboratory Technician",3,"Divorced",9508,77492,1,"Y","No",20,4,3,80,1,1,0,2,1,1,0,0
"1344",29,"No","Travel_Rarely",592,"Research & Development",7,3,"Life Sciences",1,1883,4,"Male",59,3,1,"Laboratory Technician",1,"Single",8248,77536,3,"Y","No",14,3,2,80,0,11,2,3,3,2,1,2
"766",38,"No","Travel_Frequently",1186,"Research & Development",3,4,"Other",1,1060,3,"Male",44,3,1,"Research Scientist",3,"Married",11284,11988,3,"Y","No",16,3,1,80,1,8,2,3,2,2,2,2
"1296",41,"No","Travel_Rarely",796,"Sales",4,1,"Marketing",1,1815,3,"Female",81,3,3,"Sales Executive",3,"Divorced",41788,105832,0,"Y","Yes",13,3,4,80,1,23,3,4,22,14,13,5
"915",55,"No","Non-Travel",177,"Research & Development",8,1,"Medical",1,1278,4,"Male",37,2,4,"Healthcare Representative",2,"Divorced",54308,102368,1,"Y","Yes",15,3,4,80,1,34,3,3,33,9,15,0
"257",42,"No","Travel_Rarely",269,"Research & Development",2,3,"Medical",1,351,4,"Female",56,2,1,"Laboratory Technician",1,"Divorced",10372,32028,0,"Y","Yes",11,3,3,80,1,10,4,3,9,6,7,8
"898",59,"No","Travel_Rarely",326,"Sales",3,3,"Life Sciences",1,1254,3,"Female",48,2,2,"Sales Executive",4,"Single",20684,65960,5,"Y","No",17,3,4,80,0,13,2,3,6,1,0,5
"622",36,"No","Travel_Rarely",928,"Sales",1,2,"Life Sciences",1,857,2,"Male",56,3,2,"Sales Executive",4,"Married",24804,11292,1,"Y","Yes",14,3,4,80,1,18,1,2,18,14,4,11
"694",36,"Yes","Travel_Rarely",530,"Sales",3,1,"Life Sciences",1,967,3,"Male",51,2,3,"Sales Executive",4,"Married",41300,22072,1,"Y","Yes",11,3,1,80,1,16,6,3,16,7,3,7
"110",22,"No","Travel_Rarely",534,"Research & Development",15,3,"Medical",1,144,2,"Female",59,3,1,"Laboratory Technician",4,"Single",11484,95140,1,"Y","No",15,3,3,80,0,1,5,3,0,0,0,0
"469",52,"No","Travel_Rarely",956,"Research & Development",6,2,"Technical Degree",1,630,4,"Male",78,3,2,"Research Scientist",1,"Divorced",22308,88348,3,"Y","Yes",12,3,2,80,2,18,3,3,10,9,6,9
"647",53,"No","Travel_Rarely",868,"Sales",8,3,"Marketing",1,897,1,"Male",73,3,4,"Sales Executive",4,"Married",47344,91156,5,"Y","No",14,3,3,80,1,28,3,3,2,0,2,2
"788",55,"No","Travel_Frequently",1091,"Research & Development",2,1,"Life Sciences",1,1096,4,"Male",65,3,3,"Manufacturing Director",2,"Married",43904,63252,3,"Y","No",18,3,2,80,1,23,4,3,3,2,1,2
"89",30,"No","Travel_Rarely",288,"Research & Development",2,3,"Life Sciences",1,117,3,"Male",99,2,2,"Healthcare Representative",4,"Married",16608,63320,1,"Y","No",19,3,1,80,3,11,3,3,11,10,10,8
"190",51,"No","Travel_Rarely",313,"Research & Development",3,3,"Medical",1,258,4,"Female",98,3,4,"Healthcare Representative",2,"Single",54936,28768,3,"Y","No",18,3,3,80,0,21,6,3,7,7,1,0
"576",54,"No","Travel_Rarely",376,"Research & Development",19,4,"Medical",1,799,4,"Female",95,3,2,"Manufacturing Director",1,"Divorced",21940,90680,9,"Y","Yes",11,3,2,80,2,9,4,3,5,3,1,4
"236",43,"No","Travel_Rarely",1034,"Sales",16,3,"Marketing",1,327,4,"Female",80,3,4,"Manager",4,"Married",64256,30976,5,"Y","Yes",22,4,3,80,1,22,3,3,17,13,1,9
"757",32,"No","Non-Travel",1109,"Research & Development",29,4,"Medical",1,1046,4,"Female",69,3,1,"Laboratory Technician",3,"Single",16100,44540,9,"Y","No",12,3,2,80,0,10,2,3,8,7,7,7
"695",33,"No","Travel_Rarely",1069,"Research & Development",1,3,"Life Sciences",1,969,2,"Female",42,2,2,"Healthcare Representative",4,"Single",27796,49164,0,"Y","No",14,3,1,80,0,6,3,3,5,0,1,4
"510",33,"No","Travel_Frequently",1296,"Research & Development",6,3,"Life Sciences",1,692,3,"Male",30,3,2,"Healthcare Representative",4,"Divorced",30900,21340,3,"Y","No",23,4,3,80,1,15,2,1,13,11,4,7
"1384",36,"No","Non-Travel",1351,"Research & Development",9,4,"Life Sciences",1,1949,1,"Male",66,4,1,"Laboratory Technician",2,"Married",11240,36952,1,"Y","No",22,4,2,80,0,5,3,3,5,4,0,2
"1251",29,"No","Travel_Frequently",461,"Research & Development",1,3,"Life Sciences",1,1753,4,"Male",70,4,2,"Healthcare Representative",3,"Single",25176,92240,8,"Y","Yes",12,3,4,80,0,10,5,4,3,2,0,2
"902",48,"No","Travel_Rarely",969,"Research & Development",2,2,"Technical Degree",1,1258,4,"Male",76,4,1,"Laboratory Technician",2,"Single",10236,66480,5,"Y","No",11,3,3,80,0,7,4,2,1,0,0,0
"824",29,"No","Travel_Frequently",490,"Research & Development",10,3,"Life Sciences",1,1143,4,"Female",61,3,1,"Research Scientist",2,"Divorced",13164,71760,0,"Y","No",14,3,4,80,2,8,2,2,7,5,1,1
"294",26,"Yes","Travel_Rarely",950,"Sales",4,4,"Marketing",1,401,4,"Male",48,2,2,"Sales Executive",4,"Single",23312,33800,1,"Y","Yes",12,3,2,80,0,8,0,3,8,7,7,4
"1111",35,"Yes","Travel_Rarely",104,"Research & Development",2,3,"Life Sciences",1,1569,1,"Female",69,3,1,"Laboratory Technician",1,"Divorced",8296,106476,1,"Y","Yes",12,3,4,80,1,1,2,3,1,0,0,0
"587",24,"No","Non-Travel",1092,"Research & Development",9,3,"Life Sciences",1,812,3,"Male",60,2,1,"Laboratory Technician",2,"Divorced",10776,106204,1,"Y","No",11,3,3,80,3,1,4,3,1,0,0,0
"832",31,"Yes","Travel_Frequently",874,"Research & Development",15,3,"Medical",1,1160,3,"Male",72,3,1,"Laboratory Technician",3,"Married",10440,24932,1,"Y","No",12,3,3,80,1,2,5,2,2,2,2,2
"302",18,"No","Travel_Rarely",812,"Sales",10,3,"Medical",1,411,4,"Female",69,2,1,"Sales Representative",3,"Single",4800,38896,1,"Y","No",12,3,1,80,0,0,2,3,0,0,0,0
"213",27,"No","Travel_Frequently",1242,"Sales",20,3,"Life Sciences",1,293,4,"Female",90,3,2,"Sales Executive",3,"Single",39924,51664,1,"Y","No",14,3,4,80,0,7,2,3,7,7,0,7
"1339",30,"Yes","Travel_Rarely",945,"Sales",9,3,"Medical",1,1876,2,"Male",89,3,1,"Sales Representative",4,"Single",4324,64076,1,"Y","No",13,3,3,80,0,1,3,2,1,0,0,0
"1205",48,"Yes","Travel_Frequently",708,"Sales",7,2,"Medical",1,1691,4,"Female",95,3,1,"Sales Representative",3,"Married",10620,46960,2,"Y","Yes",11,3,3,80,2,19,3,3,9,7,7,7
"106",59,"No","Non-Travel",1420,"Human Resources",2,4,"Human Resources",1,140,3,"Female",32,2,5,"Manager",4,"Married",75376,87688,9,"Y","No",21,4,4,80,1,30,3,3,3,2,2,2
"481",30,"Yes","Travel_Frequently",448,"Sales",12,4,"Life Sciences",1,648,2,"Male",74,2,1,"Sales Representative",1,"Married",8132,57880,1,"Y","No",18,3,3,80,1,1,2,4,1,0,0,0
"1439",23,"Yes","Travel_Frequently",638,"Sales",9,3,"Marketing",1,2023,4,"Male",33,3,1,"Sales Representative",1,"Married",7160,107824,1,"Y","No",19,3,1,80,1,1,3,2,1,0,1,0
"380",55,"No","Travel_Rarely",1311,"Research & Development",2,3,"Life Sciences",1,505,3,"Female",97,3,4,"Manager",4,"Single",66636,93032,2,"Y","Yes",13,3,3,80,0,30,2,3,5,4,1,2
"39",36,"No","Travel_Rarely",852,"Research & Development",5,4,"Life Sciences",1,51,2,"Female",82,2,1,"Research Scientist",1,"Married",13676,52288,9,"Y","Yes",14,3,4,80,1,6,3,4,1,1,0,0
"989",41,"No","Travel_Frequently",1200,"Research & Development",22,3,"Life Sciences",1,1392,4,"Female",75,3,2,"Research Scientist",4,"Divorced",21868,55812,3,"Y","Yes",14,3,1,80,2,12,4,2,6,2,3,3
"1023",37,"No","Non-Travel",1413,"Research & Development",5,2,"Technical Degree",1,1440,3,"Male",84,4,1,"Laboratory Technician",3,"Single",14000,101880,0,"Y","No",14,3,1,80,0,7,2,1,6,5,1,3
"1016",34,"No","Travel_Frequently",560,"Research & Development",1,4,"Other",1,1431,4,"Male",91,3,1,"Research Scientist",1,"Divorced",11984,81136,5,"Y","No",14,3,3,80,2,10,2,3,4,3,1,3
"542",36,"No","Non-Travel",427,"Research & Development",8,3,"Life Sciences",1,742,1,"Female",63,4,3,"Research Director",1,"Married",46852,81340,9,"Y","No",14,3,1,80,1,10,2,3,8,7,0,5
"1450",32,"No","Travel_Rarely",529,"Research & Development",2,3,"Technical Degree",1,2038,4,"Male",78,3,1,"Research Scientist",1,"Single",9756,45152,1,"Y","No",14,3,4,80,0,4,4,3,4,2,1,2
"1177",49,"No","Travel_Rarely",301,"Research & Development",22,4,"Other",1,1655,1,"Female",72,3,4,"Research Director",2,"Married",65652,13992,3,"Y","No",16,3,2,80,2,27,2,3,4,2,1,2
"347",41,"No","Travel_Rarely",483,"Research & Development",6,3,"Medical",1,466,4,"Male",95,2,2,"Manufacturing Director",2,"Single",24128,40440,6,"Y","Yes",15,3,4,80,0,8,3,3,5,4,1,2
"393",54,"No","Travel_Rarely",821,"Research & Development",5,2,"Medical",1,522,1,"Male",86,3,5,"Research Director",1,"Married",77624,34036,4,"Y","No",11,3,3,80,1,24,4,2,4,2,1,2
"357",42,"No","Travel_Rarely",1332,"Research & Development",2,4,"Other",1,477,1,"Male",98,2,2,"Healthcare Representative",4,"Single",27124,68312,3,"Y","No",23,4,2,80,0,14,6,3,1,0,0,0
"858",44,"Yes","Travel_Rarely",1097,"Research & Development",10,4,"Life Sciences",1,1200,3,"Male",96,3,1,"Research Scientist",3,"Single",11744,43304,1,"Y","Yes",11,3,3,80,0,6,4,3,6,4,0,2
"650",53,"No","Travel_Rarely",102,"Research & Development",23,4,"Life Sciences",1,901,4,"Female",72,3,4,"Research Director",4,"Single",57100,80824,6,"Y","No",18,3,3,80,0,33,0,3,12,9,3,8
"1363",45,"No","Travel_Frequently",1297,"Research & Development",1,4,"Medical",1,1922,2,"Male",44,3,2,"Healthcare Representative",3,"Single",21596,58044,4,"Y","No",12,3,3,80,0,12,3,3,4,2,0,3
"99",58,"No","Travel_Rarely",682,"Sales",10,4,"Medical",1,131,4,"Male",37,3,4,"Sales Executive",3,"Single",55488,97636,0,"Y","No",13,3,3,80,0,38,1,2,37,10,1,8
"812",38,"No","Travel_Rarely",130,"Sales",2,2,"Marketing",1,1125,4,"Male",32,3,3,"Sales Executive",2,"Single",29404,82476,7,"Y","No",16,3,3,80,0,10,2,3,1,0,0,0
"1182",49,"No","Travel_Rarely",465,"Research & Development",6,1,"Life Sciences",1,1661,3,"Female",41,2,4,"Healthcare Representative",3,"Married",55864,46608,2,"Y","Yes",19,3,2,80,1,30,3,3,15,11,2,12
"926",42,"No","Travel_Rarely",603,"Research & Development",7,4,"Medical",1,1292,2,"Female",78,4,2,"Research Scientist",2,"Married",9488,22512,6,"Y","Yes",16,3,4,80,0,18,2,3,1,0,0,0
"1131",35,"No","Travel_Rarely",750,"Research & Development",28,3,"Life Sciences",1,1596,2,"Male",46,4,2,"Laboratory Technician",3,"Married",13628,101392,1,"Y","No",17,3,4,80,2,10,3,2,10,9,6,8
"1161",45,"No","Travel_Rarely",1329,"Research & Development",2,2,"Other",1,1635,4,"Female",59,2,2,"Manufacturing Director",4,"Divorced",23080,21552,1,"Y","No",19,3,1,80,2,10,3,3,10,7,3,9
"512",36,"No","Travel_Rarely",913,"Research & Development",9,2,"Medical",1,699,2,"Male",48,2,2,"Manufacturing Director",2,"Divorced",35388,55736,2,"Y","Yes",11,3,3,80,1,13,2,3,3,2,0,2
"610",43,"No","Travel_Rarely",589,"Research & Development",14,2,"Life Sciences",1,843,2,"Male",94,3,4,"Research Director",1,"Married",68636,20800,6,"Y","No",24,4,3,80,1,22,3,3,4,1,1,0
"544",44,"No","Non-Travel",381,"Research & Development",24,3,"Medical",1,744,1,"Male",49,1,1,"Laboratory Technician",3,"Single",14832,8416,2,"Y","No",14,3,3,80,0,9,5,3,5,2,1,4
"162",27,"No","Non-Travel",691,"Research & Development",9,3,"Medical",1,218,4,"Male",57,3,1,"Research Scientist",2,"Divorced",8096,23880,6,"Y","No",18,3,4,80,1,6,1,1,2,2,2,2
"565",45,"No","Travel_Rarely",954,"Sales",2,2,"Technical Degree",1,783,2,"Male",46,1,2,"Sales Representative",3,"Single",26528,49552,0,"Y","No",13,3,1,80,0,9,3,3,8,7,3,1
"815",40,"No","Travel_Rarely",1308,"Research & Development",14,3,"Medical",1,1128,3,"Male",44,2,5,"Research Director",3,"Single",78504,70176,1,"Y","No",14,3,1,80,0,21,2,4,20,7,4,9
"361",57,"No","Travel_Rarely",593,"Research & Development",1,4,"Medical",1,482,4,"Male",88,3,2,"Healthcare Representative",3,"Married",27020,11868,2,"Y","No",11,3,3,80,0,15,2,3,3,2,1,2
"820",28,"No","Travel_Rarely",1451,"Research & Development",2,1,"Life Sciences",1,1136,1,"Male",67,2,1,"Research Scientist",2,"Married",12804,79644,0,"Y","No",17,3,1,80,0,6,2,1,5,3,0,4
"734",26,"No","Travel_Rarely",1066,"Research & Development",2,2,"Medical",1,1018,4,"Male",32,4,2,"Manufacturing Director",4,"Married",21888,13336,1,"Y","No",12,3,2,80,0,8,2,3,8,7,1,3
"865",41,"Yes","Non-Travel",906,"Research & Development",5,2,"Life Sciences",1,1210,1,"Male",95,2,1,"Research Scientist",1,"Divorced",8428,81172,6,"Y","No",17,3,1,80,1,5,2,1,1,0,0,0
"1029",41,"No","Travel_Rarely",1283,"Research & Development",5,5,"Medical",1,1448,2,"Male",90,4,1,"Research Scientist",3,"Married",8508,22244,2,"Y","Yes",12,3,1,80,0,7,5,2,4,2,0,3
"960",40,"No","Travel_Rarely",523,"Research & Development",2,3,"Life Sciences",1,1346,3,"Male",98,3,2,"Research Scientist",4,"Single",18644,89820,1,"Y","No",13,3,3,80,0,9,4,3,9,8,8,8
"668",41,"Yes","Travel_Rarely",1085,"Research & Development",2,4,"Life Sciences",1,927,2,"Female",57,1,1,"Laboratory Technician",4,"Divorced",11112,70900,4,"Y","Yes",13,3,3,80,1,10,1,2,7,7,1,0
"528",32,"No","Travel_Rarely",929,"Sales",10,3,"Marketing",1,722,4,"Male",55,3,2,"Sales Executive",4,"Single",21584,86812,1,"Y","No",12,3,4,80,0,10,2,2,10,7,0,8
"204",40,"No","Travel_Rarely",905,"Research & Development",19,2,"Medical",1,281,3,"Male",99,3,2,"Laboratory Technician",4,"Married",10964,66092,8,"Y","Yes",15,3,3,80,1,15,2,4,7,2,3,7
"543",38,"No","Travel_Rarely",168,"Research & Development",1,3,"Life Sciences",1,743,3,"Female",81,3,3,"Manufacturing Director",3,"Single",31444,61588,4,"Y","Yes",14,3,4,80,0,10,4,4,1,0,0,0
"1095",40,"No","Travel_Rarely",1342,"Sales",9,2,"Medical",1,1548,1,"Male",47,3,2,"Sales Executive",1,"Married",21892,77380,0,"Y","No",12,3,4,80,0,9,5,4,8,4,7,1
"897",31,"No","Travel_Rarely",1062,"Research & Development",24,3,"Medical",1,1252,3,"Female",96,2,2,"Healthcare Representative",1,"Single",27248,68792,1,"Y","No",19,3,2,80,0,10,2,3,10,9,1,8
"999",26,"No","Travel_Rarely",683,"Research & Development",2,1,"Medical",1,1407,1,"Male",36,2,1,"Research Scientist",4,"Single",15616,16200,0,"Y","No",12,3,4,80,0,5,2,3,4,3,1,1
"112",34,"Yes","Travel_Frequently",658,"Research & Development",7,3,"Life Sciences",1,147,1,"Male",66,1,2,"Laboratory Technician",3,"Single",24296,91548,1,"Y","Yes",24,4,4,80,0,9,3,3,9,7,0,6
"210",46,"No","Travel_Rarely",644,"Research & Development",1,4,"Medical",1,288,4,"Male",97,3,3,"Healthcare Representative",1,"Divorced",37584,49472,7,"Y","No",16,3,3,80,1,17,3,3,4,2,0,3
"1142",30,"No","Travel_Rarely",241,"Research & Development",7,3,"Medical",1,1609,2,"Male",48,2,1,"Research Scientist",2,"Married",8564,21392,1,"Y","No",12,3,2,80,1,6,3,2,6,4,1,1
"421",29,"No","Travel_Rarely",986,"Research & Development",3,4,"Medical",1,564,2,"Male",93,2,3,"Research Director",3,"Married",47740,86104,1,"Y","No",18,3,3,80,0,10,2,3,10,2,0,7
"1068",47,"No","Travel_Rarely",571,"Sales",14,3,"Medical",1,1503,3,"Female",78,3,2,"Sales Executive",3,"Married",18364,96800,3,"Y","Yes",17,3,3,80,1,11,4,2,5,4,1,2
"868",50,"No","Travel_Frequently",1421,"Research & Development",2,3,"Medical",1,1215,4,"Female",30,3,4,"Manager",1,"Married",71424,37960,2,"Y","No",22,4,3,80,1,32,3,3,2,2,2,2
"938",39,"No","Travel_Rarely",412,"Research & Development",13,4,"Medical",1,1307,3,"Female",94,2,4,"Manager",2,"Divorced",68492,69336,6,"Y","Yes",13,3,4,80,2,21,4,3,19,9,15,2
"429",47,"No","Travel_Rarely",983,"Research & Development",2,2,"Medical",1,574,1,"Female",65,3,2,"Manufacturing Director",4,"Divorced",20280,29556,5,"Y","No",13,3,3,80,3,20,2,3,5,0,0,4
"1443",29,"Yes","Travel_Rarely",1092,"Research & Development",1,4,"Medical",1,2027,1,"Male",36,3,1,"Research Scientist",4,"Married",19148,104496,9,"Y","Yes",14,3,2,80,3,4,3,4,2,2,2,2
"1306",54,"No","Travel_Rarely",431,"Research & Development",7,4,"Medical",1,1830,4,"Female",68,3,2,"Research Scientist",4,"Married",27416,62784,4,"Y","No",15,3,2,80,1,14,2,2,7,1,1,7
